Region,total,residential,communal_enterprises,industrial_enterprises,other_consumers
Abai Region,17743.4,10594.2,3570.3,3578.9,
Akmola Region,36212.7,12540.3,3263.3,13855.4,6553.7
Aktobe Region,33572.0,17350.9,2053.4,7288.6,6879.1
Almaty Region,25438.1,17639.4,2433.6,2446.2,2919.0
Atyrau Region,17705.0,12583.0,,,1023.7
West Kazakhstan Region,22333.3,11405.6,975.5,1897.7,8054.4
Jambyl Region,27167.5,16179.2,10415.2,390.0,
Jetisu Region,13163.5,9566.3,1742.9,1854.4,
Karaganda Region,144209.3,43354.1,4124.8,76320.7,20409.7
Kostanay Region,42019.0,15678.6,1937.4,24189.8,213.2
Kyzylorda Region,20921.0,14792.8,2953.2,1068.9,2106.1
Mangystau Region,64709.4,26657.5,9545.0,25859.9,2647.0
Pavlodar Region,100085.9,30523.5,7466.7,52205.4,9890.3
North Kazakhstan Region,13985.5,10784.8,550.1,2650.6,
Turkistan Region,41598.0,20912.4,3944.2,315.7,16425.7
Ulytau Region,39456.5,9698.1,1800.7,11673.9,16283.9
East Kazakhstan Region,105703.8,22163.0,47284.0,35534.1,722.7
Astana city,89314.8,60884.4,15476.4,12954.0,
Almaty city,181789.8,89509.8,7341.3,49969.1,34969.6
Shymkent city,86685.2,63951.3,11157.2,5519.5,6057.2
The Republic of Kazakhstan,1123813.7,516768.9,140816.1,330890.5,135338.2
